Cell	CellType	Age
GSM2657394	Unknown	27
GSM2657395	Unknown	27
GSM2657396	Pvalb.Tac1.Syt2	27
GSM2657397	Unknown	27
GSM2657398	Unknown	27
GSM2657399	Calb2.Cryab	27
GSM2657400	Cacna2d1.Ndnf.Cxcl14	27
GSM2657401	Unknown	27
GSM2657402	Unknown	27
GSM2657403	Unknown	27
GSM2657404	Cck.Lmo1.Npy	27
GSM2657405	Unknown	27
GSM2657406	Unknown	27
GSM2657407	Unknown	27
GSM2657408	Unknown	27
GSM2657409	Unknown	27
GSM2657410	Cacna2d1.Lhx6.Reln	27
GSM2657411	Unknown	27
GSM2657412	Unknown	27
GSM2657413	Unknown	27
GSM2657414	Unknown	27
GSM2657415	Unknown	27
GSM2657416	Unknown	27
GSM2657417	Unknown	27
GSM2657418	Unknown	27
GSM2657419	Unknown	27
GSM2657420	Unknown	27
GSM2657421	Unknown	27
GSM2657422	Unknown	27
GSM2657423	Cck.Lmo1.Vip.Crh	27
GSM2657424	Unknown	27
GSM2657425	Unknown	27
GSM2657426	Unknown	27
GSM2657427	Unknown	27
GSM2657428	Unknown	27
GSM2657429	Unknown	27
GSM2657430	Unknown	27
GSM2657431	Unknown	27
GSM2657432	Unknown	27
GSM2657433	Unknown	27
GSM2657434	Calb2.Cryab	27
GSM2657435	Unknown	27
GSM2657436	Cacna2d1.Lhx6.Reln	27
GSM2657437	Unknown	27
GSM2657438	Unknown	27
GSM2657439	Unknown	27
GSM2657440	Unknown	27
GSM2657441	Unknown	27
GSM2657442	Unknown	27
GSM2657443	Unknown	27
GSM2657444	Pvalb.C1ql1.Cpne5	27
GSM2657445	Unknown	27
GSM2657446	Unknown	27
GSM2657447	Unknown	27
GSM2657448	Unknown	27
GSM2657449	Unknown	27
GSM2657450	Unknown	27
GSM2657451	Unknown	27
GSM2657452	Unknown	27
GSM2657453	Unknown	27
GSM2657454	Unknown	27
GSM2657455	Unknown	27
GSM2657456	Unknown	27
GSM2657457	Unknown	27
GSM2657458	Unknown	27
GSM2657459	Unknown	27
GSM2657460	Unknown	27
GSM2657461	Cck.Cxcl14.Calb1.Tac2	27
GSM2657462	Unknown	27
GSM2657463	Unknown	27
GSM2657464	Unknown	27
GSM2657465	Unknown	27
GSM2657466	Unknown	27
GSM2657467	Unknown	27
GSM2657468	Unknown	27
GSM2657469	Unknown	27
GSM2657470	Unknown	27
GSM2657471	Unknown	27
GSM2657472	Unknown	27
GSM2657473	Unknown	27
GSM2657474	Unknown	27
GSM2657475	Unknown	27
GSM2657476	Unknown	27
GSM2657477	Unknown	27
GSM2657478	Unknown	27
GSM2657479	Ntng1.Chrm2	27
GSM2657480	Unknown	27
GSM2657481	Unknown	27
GSM2657482	Unknown	27
GSM2657483	Unknown	27
GSM2657484	Unknown	27
GSM2657485	Sst.Npy.Cort	27
GSM2657486	Unknown	27
GSM2657487	Unknown	27
GSM2657488	Ntng1.Chrm2	27
GSM2657489	Unknown	27
GSM2657490	Sst.Npy.Serpine2	27
GSM2657491	Unknown	27
GSM2657492	Unknown	27
GSM2657493	Unknown	27
GSM2657494	Pvalb.Tac1.Akr1c18	27
GSM2657495	Unknown	27
GSM2657496	Unknown	27
GSM2657497	Unknown	27
GSM2657498	Unknown	27
GSM2657499	Unknown	27
GSM2657500	Unknown	27
GSM2657501	Unknown	27
GSM2657502	Unknown	27
GSM2657503	Unknown	27
GSM2657504	Unknown	27
GSM2657505	Unknown	27
GSM2657506	Unknown	27
GSM2657507	Unknown	27
GSM2657508	Unknown	27
GSM2657509	Unknown	27
GSM2657510	Unknown	27
