Cell	CellType
692300498	Vip Ptprt Pkp2
692300636	Sst Calb2 Pdlim5
692310663	Sst Chrna2 Glra3
692470904	Sst Nts
692498211	Sst Rxfp1 Prdm8
692565557	Sst Esm1
692635606	Vip Gpc3 Slc18a3
692777680	Vip Crispld2 Kcne4
692793083	Vip Crispld2 Htr2c
692793282	Vip Crispld2 Kcne4
692794769	Pvalb Reln Itm2a
692808080	Pvalb Sema3e Kank4
692809544	Pvalb Tpbg
692821749	Pvalb Sema3e Kank4
692824134	Pvalb Reln Itm2a
692843780	Pvalb Reln Itm2a
692846027	Pvalb Sema3e Kank4
693009119	Sst Nts
693044296	Sst Rxfp1 Prdm8
693044826	Sst Hpse Cbln4
693069559	Sst Mme Fam114a1
693093302	Sst Crhr2 Efemp1
693230694	Vip Crispld2 Htr2c
693232442	Vip Rspo1 Itga4
694146546	Vip Ptprt Pkp2
694162255	Sst Nts
694183636	Vip Crispld2 Kcne4
694197913	Vip Pygm C1ql1
694220357	Pvalb Akr1c18 Ntf3
694335699	Pvalb Gabrg1
694413065	Pvalb Gabrg1
694419620	Pvalb Gabrg1
694420603	Pvalb Th Sst
694437359	Pvalb Gabrg1
694474022	Pvalb Gabrg1
694478454	Pvalb Th Sst
694482319	Pvalb Gabrg1
694664060	Vip Crispld2 Htr2c
694689662	Vip Ptprt Pkp2
694734857	Vip Lmo1 Myl1
694860793	Vip Gpc3 Slc18a3
694869009	Vip Ptprt Pkp2
694873662	Vip Arhgap36 Hmcn1
694874769	Vip Ptprt Pkp2
695266455	Vip Crispld2 Kcne4
695289158	Vip Lmo1 Fam159b
695318015	Vip Crispld2 Kcne4
695422181	Sst Calb2 Pdlim5
695432655	Sst Tac2 Tacstd2
695446404	Sst Tac2 Tacstd2
695949332	Sst Hpse Cbln4
696030664	Sst Hpse Sema3c
696059326	Sst Calb2 Pdlim5
696081106	Sst Rxfp1 Prdm8
696115308	Vip Lect1 Oxtr
696128312	Vip Pygm C1ql1
696136783	Sncg Vip Itih5
697292431	Pvalb Tpbg
697326722	Pvalb Tpbg
697328468	Pvalb Gpr149 Islr
697502029	Sst Rxfp1 Prdm8
697521591	Pvalb Sema3e Kank4
697543032	Pvalb Akr1c18 Ntf3
697543249	Pvalb Sema3e Kank4
697582111	Pvalb Reln Itm2a
697609511	Pvalb Sema3e Kank4
697764035	Lamp5 Lsp1
697783972	Vip Ptprt Pkp2
697787349	Pvalb Sema3e Kank4
697795277	Pvalb Sema3e Kank4
697795393	Pvalb Sema3e Kank4
697798908	Vip Lmo1 Fam159b
697799017	Vip Lmo1 Myl1
697804311	Pvalb Sema3e Kank4
697804445	Vip Rspo4 Rxfp1 Chat
