Cell	CellType	X	Y
GSM2659867	Pvalb.C1ql1.Cpne5	-0.3603183627128601	6.737045764923096
GSM2659871	Pvalb.C1ql1.Pvalb	-1.6342854499816895	4.746901988983154
GSM2659885	Pvalb.Tac1.Sst	3.7509775161743164	6.181466579437256
GSM2659891	Pvalb.Tac1.Nr4a2	2.8358278274536133	6.5775017738342285
GSM2659907	Pvalb.Tac1.Nr4a2	2.40041184425354	6.768923282623291
GSM2659921	Pvalb.C1ql1.Npy	-0.32363080978393555	6.37775182723999
GSM2659944	Pvalb.Tac1.Akr1c18	1.1357923746109009	2.834995985031128
GSM2659946	Pvalb.Tac1.Syt2	3.3148252964019775	5.266191482543945
GSM2659961	Pvalb.Tac1.Sst	1.8326412439346313	5.3387532234191895
GSM2659964	Pvalb.Tac1.Sst	3.290217161178589	5.005764007568359
GSM2659970	Pvalb.C1ql1.Pvalb	-0.8495441675186157	5.219032287597656
GSM2659999	Pvalb.Tac1.Nr4a2	2.6317715644836426	5.787496089935303
GSM2660007	Pvalb.C1ql1.Pvalb	-0.21572822332382202	6.759190082550049
GSM2660019	Pvalb.Tac1.Nr4a2	3.0621371269226074	6.230912685394287
GSM2660029	Pvalb.Tac1.Nr4a2	2.036818504333496	6.505018711090088
