SRA	Cell
SRR7332866	F2S4_160120_012_F01
SRR7332877	F2S4_160120_012_G01
SRR7332888	F2S4_160120_012_H01
SRR7332899	F2S4_160120_017_A01
SRR7332911	F2S4_160120_017_B01
SRR7332913	F2S4_160120_017_C01
SRR7332914	F2S4_160120_017_D01
SRR7332915	F2S4_160120_017_E01
SRR7332916	F2S4_160120_017_F01
SRR7332917	F2S4_160120_017_G01
SRR7332918	F2S4_160120_017_H01
SRR7332919	F2S4_160120_018_A01
SRR7332920	F2S4_160120_018_B01
SRR7332921	F2S4_160120_018_C01
SRR7332923	F2S4_160120_018_D01
SRR7332924	F2S4_160120_018_E01
SRR7332925	F2S4_160120_018_F01
SRR7332926	F2S4_160120_018_G01
SRR7332927	F2S4_160120_018_H01
SRR7322937	F0S4_150820_026_A01
SRR7323685	F0S4_150820_026_B01
SRR7322948	F0S4_150820_026_C01
SRR7323696	F0S4_150820_026_D01
SRR7322169	F0S4_150820_026_E01
SRR7322181	F0S4_150820_026_F01
SRR7322192	F0S4_150820_026_G01
SRR7322203	F0S4_150820_026_H01
SRR7335381	F2S4_160113_026_A01
SRR7335382	F2S4_160113_026_B01
SRR7335383	F2S4_160113_026_C01
SRR7335385	F2S4_160113_026_D01
SRR7335386	F2S4_160113_026_E01
SRR7335387	F2S4_160113_026_F01
SRR7335388	F2S4_160113_026_G01
SRR7335389	F2S4_160113_026_H01
SRR7327015	F2S4_160115_022_A01
SRR7327016	F2S4_160115_022_B01
SRR7327017	F2S4_160115_022_C01
SRR7327018	F2S4_160115_022_D01
SRR7327019	F2S4_160115_022_E01
SRR7327020	F2S4_160115_022_F01
SRR7327021	F2S4_160115_022_G01
SRR7327023	F2S4_160115_022_H01
SRR7327024	F2S4_160115_023_A01
